date,ron95_vung1,is_update_day
2020-01-15,20910,1
2020-01-16,20910,0
2020-01-17,20910,0
2020-01-18,20910,0
2020-01-19,20910,0
2020-01-20,20910,0
2020-01-21,20910,0
2020-01-22,20910,0
2020-01-23,20910,0
2020-01-24,20910,0
2020-01-25,20910,0
2020-01-26,20910,0
2020-01-27,20910,0
2020-01-28,20910,0
2020-01-29,20910,0
2020-01-30,20120,1
2020-01-31,20120,0
2020-02-01,20120,0
2020-02-02,20120,0
2020-02-03,20120,0
2020-02-04,20120,0
2020-02-05,20120,0
2020-02-06,20120,0
2020-02-07,20120,0
2020-02-08,20120,0
2020-02-09,20120,0
2020-02-10,20120,0
2020-02-11,20120,0
2020-02-12,20120,0
2020-02-13,20120,0
2020-02-14,19380,1
2020-02-15,19380,0
2020-02-16,19380,0
2020-02-17,19380,0
2020-02-18,19380,0
2020-02-19,19380,0
2020-02-20,19380,0
2020-02-21,19380,0
2020-02-22,19380,0
2020-02-23,19380,0
2020-02-24,19380,0
2020-02-25,19380,0
2020-02-26,19380,0
2020-02-27,19380,0
2020-02-28,19380,0
2020-02-29,19120,1
2020-03-01,19120,0
2020-03-02,19120,0
2020-03-03,19120,0
2020-03-04,19120,0
2020-03-05,19120,0
2020-03-06,19120,0
2020-03-07,19120,0
2020-03-08,19120,0
2020-03-09,19120,0
2020-03-10,19120,0
2020-03-11,19120,0
2020-03-12,19120,0
2020-03-13,19120,0
2020-03-14,19120,0
2020-03-15,16810,1
2020-03-16,16810,0
2020-03-17,16810,0
2020-03-18,16810,0
2020-03-19,16810,0
2020-03-20,16810,0
2020-03-21,16810,0
2020-03-22,16810,0
2020-03-23,16810,0
2020-03-24,16810,0
2020-03-25,16810,0
2020-03-26,16810,0
2020-03-27,16810,0
2020-03-28,16810,0
2020-03-29,12560,1
2020-03-30,12560,0
2020-03-31,12560,0
2020-04-01,12560,0
2020-04-02,12560,0
2020-04-03,12560,0
2020-04-04,12560,0
2020-04-05,12560,0
2020-04-06,12560,0
2020-04-07,12560,0
2020-04-08,12560,0
2020-04-09,12560,0
2020-04-10,12560,0
2020-04-11,12560,0
2020-04-12,12560,0
2020-04-13,11930,1
2020-04-14,11930,0
2020-04-15,11930,0
2020-04-16,11930,0
2020-04-17,11930,0
