ngay,ten_mat_hang,thi_truong,gia,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,rain_sum,lat,lon,coord_source,ron95_vung1,thang_sin,thang_cos,quy_sin,quy_cos,Lag_1_Price,Lag_2_Price,Lag_7_Price,Lag_14_Price,Lag_30_Price,MA_7_Price,MA_30_Price,Volatility_7D,Volatility_30D,Rainfall_30D_Sum,Fuel_Price_Change_7D
2020-02-12,Cà phê Robusta nhân xô,Đắk Lắk,30906.0,23.7,18.8,30.2,0.2,0.2,12.71,108.2378,manual_fallback,20120.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,30697.0,30797.0,31281.0,32000.0,32639.0,30899.0,31671.7,273.3172759511126,621.6989597479832,6.3,0.0
2020-02-13,Cà phê Robusta nhân xô,Đắk Lắk,30706.0,24.8,20.5,31.0,0.2,0.2,12.71,108.2378,manual_fallback,20120.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,30906.0,30697.0,31282.0,32500.0,32639.0,30845.428571428572,31613.933333333334,216.8907998224515,609.1060681842292,2.8,0.0
2020-02-14,Cà phê Robusta nhân xô,Đắk Lắk,31114.0,25.6,20.5,32.2,0.3,0.3,12.71,108.2378,manual_fallback,19380.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,30706.0,30906.0,30719.0,31500.0,32539.0,30763.14285714286,31549.5,103.03628579524826,599.0891793611255,2.4,0.0
2020-02-17,Cà phê Robusta nhân xô,Đắk Lắk,31481.0,22.6,19.2,27.2,0.0,0.0,12.71,108.2378,manual_fallback,19380.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,31114.0,30706.0,30631.0,31600.0,32519.0,30819.571428571428,31502.0,164.60139442794215,573.8914351254476,2.5,-0.036779324055665974
2020-02-18,Cà phê Robusta nhân xô,Đắk Lắk,31481.0,21.0,18.3,25.4,0.5,0.5,12.71,108.2378,manual_fallback,19380.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,31481.0,31114.0,30886.0,31500.0,32181.0,30941.0,31467.4,277.2712270202902,540.7984901019537,2.5,-0.036779324055665974
2020-02-19,Cà phê Robusta nhân xô,Đắk Lắk,31481.0,20.9,17.5,26.5,0.0,0.0,12.71,108.2378,manual_fallback,19380.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,31481.0,31481.0,30797.0,31000.0,32286.0,31026.0,31444.066666666666,341.388341921636,523.7811423270912,3.0,-0.036779324055665974
2020-02-20,Cà phê Robusta nhân xô,Đắk Lắk,30981.0,21.1,18.0,26.5,0.5,0.5,12.71,108.2378,manual_fallback,19380.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,31481.0,31481.0,30697.0,30900.0,32133.0,31123.714285714286,31417.233333333334,362.17478022161504,499.2050703857604,2.5,-0.036779324055665974
2020-02-21,Cà phê Robusta nhân xô,Đắk Lắk,31025.0,20.7,18.2,25.0,1.1,1.1,12.71,108.2378,manual_fallback,19380.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,30981.0,31481.0,30906.0,31281.0,32131.0,31164.285714285714,31378.833333333332,319.83939422035206,486.3908661895753,3.0,-0.036779324055665974
2020-02-24,Cà phê Robusta nhân xô,Đắk Lắk,31281.0,20.6,16.0,27.0,0.0,0.0,12.71,108.2378,manual_fallback,19380.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,31025.0,30981.0,30706.0,31282.0,32019.0,31181.285714285714,31341.966666666667,306.7163262069829,469.0185999791893,4.1000000000000005,-0.036779324055665974
2020-02-25,Cà phê Robusta nhân xô,Đắk Lắk,31069.0,21.5,17.2,28.2,0.0,0.0,12.71,108.2378,manual_fallback,19380.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,31281.0,31025.0,31114.0,30719.0,31619.0,31263.428571428572,31317.366666666665,224.07726133550906,451.3032074531195,4.1000000000000005,-0.036779324055665974
