index,effective_date,source_url,price_image_url,before_missing_any,after_missing_any,improved,matched_groups,action,sample
0,1/15/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-30-2019-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-30-ngay-15-01-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/8330982928624acaa1d07ab6f4539468/Gia%2015.1.2020.png,8,4,1,2,ok,"don tinh
mat hang {da bao gom thue vung vung
gtgt)
xang ron 95-iv dong lit_ 21.010 21.430
xang ron 95-ii1 dong 'lit 20.910 21.320
xang sinh hoc e5 ron 92-i1 dong lit_ 19.840 20.230
diezen 001s-' donglit 16.840 17.170
diezen 055-i1 donglit 16.540 16.870
dau hoa donglit 15.530 15.840
mazut 725755 dong'ka 14.600 14.890
mazut n'2b (3,5s dongik9 12.700 12.950
mazut n'3 (380) dong'ka 12.650 12.900
mazut 18ocst - 0,5s (rmg) dong ka 21.280 21.700
mazut 38ocst _ 0,5s (rmg) dongkg 21.080 21.500
(ghi chu: muc gia ghi tren la gia ban le, rieng doi voi mat hang mazut la gia ban buon)"
1,1/30/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-04-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-ngay-30-01-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/4bae9c32d7b6482b88bca28b8c48827c/Gia%2030.1.2020.png,8,4,1,2,ok,"don tinh
mat hang {da bao gom thue vung vung
gtgt)
xang ron 95-iv dong lit_ 20.220 20.620
xang ron 95-ii1 dong 'lit 20.120 20.520
xang sinh hoc e5 ron 92-i1 dong lit_ 19.260 19.640
diezen 001s-' donglit 16.430 16.750
diezen 055-i1 donglit 16.130 16.450
dau hoa donglit 15.060 15.360
mazut 422(3 0s2_ dong'ka 15.340 15.640
mazut 4222 5s2_ dong'ka 12.440 12.680
mazut 18ocst - 5s (rmg) donaka 22.640 23.090
mazut 38ocst _ 0,5s (rmg) dongkg 22.280 22.720
(ghi chu: muc gia ghi tren la gia ban le, rieng doi voi mat hang mazut la gia ban buon"
2,2/14/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-giam-gia-xang-dau-tu-15-gio-ngay-14-02-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/2f8b99d6a90d44a78ac83790ff98b54c/Gia%2014.2.2020.PNG,8,6,1,1,ok,"don tinh
mat hang (da bao gom thue vung vung
gtgt)
xang. ron 95-iv donglit 19.480 19.860
xang ron 95-ii1 donglit 19.380 19.760
xang. sinh hoc e5 ron5217 dong 'lit 18.500 18.870
diezen 001s-v donglit 15.470 15.770
diezen 05s-/1 donglit 15.170 15.470
dau hoa donglit 13.950 14.220
mazut m' 2e.(3 0s2_ donaka 13.100 13.360
mazut n'2b (3,5s1 donaka 11.650 11.880
mazut 'ocst 5s (rmg) donaka 21.850 22.280
mazut 38ocst _ 5s (rmg dong /kg 21.490 21.910
(ghi chu: muc gia ghi tren la gia ban le, rieng doi voi mat hang mazut la gia ban buon"
3,2/29/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-ngay-29-02-2020.html,https://files.petrolimex.com.vn/jpgs/6783DC1271FF449E95B74A9520964169/73efc6a338ba49c4b756ef6ff59db5dd/b%E1%BA%A3ng%20gi%C3%A1%202.jpg,8,0,1,4,ok,"don vi tinh
mat hang (da bao gom thue vung vung 2
gtgt)
xang ron 95-iv donglit 19.220 19.600
xang ron 95-iil dong lit 19.120 19.500
xang sinh hoc e5 ron 92-ii dong lit 18.340 18.700
diezen 0.001s-v onglit 15.080 15.380
diezen 0,05s-i1 dong lit 14.780 15.070
dau hoa dong lit 13.670 13.940
mazut n?2b (3,0s) dongkg 13.200 13.460
mazut n?2b (3.5s) dongk_ 11.750 11.980
mazut 8ocst 0,5s (rmg) dongkg. 20.650 21.060
mazut 38ocst_ 0,5s (rmg) dong/kg 20.650 21.060
(ghi chu: muc gia ghi tren la gia ban le, rieng doi voi mat hang mazut la gia ban buon)"
4,3/15/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-07-2020-plx-tcbc-petrolimex-giam-gia-xang-dau-tu-15-gio-ngay-15-3-2020.html,https://files.petrolimex.com.vn/jpgs/6783DC1271FF449E95B74A9520964169/1b599c254b3c4231a3a1733a8edc38ed/Giabanle.jpg,8,2,1,3,ok,"don vi tinh
mat hang (da bao gom thue vung vung 2
gtgt)
xang ron 95-iv donglit 16.910 17.240
xang ron 95-iil dong lit 16.810 17.140
xang sinh hoc e5 ron 92-i donglit 16.050 16.370
diezen 0.001s-v dong lit 13.330 13.590
diezen 05s-i1 dong lit 13.030 13.290
dau hoa dong lit 11.840 12.070
mazut n'2b (3,0s) dongikg 11.100 11.320
mazut n?2b (3,5s) dong kg 10.500 10.710
mazut 8ocst 0,5s (rmg) dongkg 18.900 19.270
mazut 380cst - 0,5s (rmg) dong kg 18.900 19.270
(ghi chu: muc gia ghi tren la gia ban le, rieng doi voi mat hang mazut la gia ban buon)"
5,3/29/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-08-2020-plx-tcbc-petrolimex-giam-gia-xang-dau-tu-15-gio-ngay-29-03-2020.html,https://files.petrolimex.com.vn/jpgs/6783DC1271FF449E95B74A9520964169/4c6ac8691ac842e0bf6f57f4660f043f/TCBC%2029.03.jpg,8,0,1,4,ok,"don vi tinh
mat hang (da bao gom thue vung vung 2
gtgt)
xang ron 95-iv dongllit 12.660 12.910
xang ron 95-iil donglit_ 12.560 12.810
xang sinh hoc e5 ron 92-il dong lit 11.950 12.180
diezen 0,001s-v dong lit 11.550 11.780
diezen 0.05s-i1 dongflit 11.250 11.470
dau hoa donglit 9.140 9.320
mazut m'2e. (3 0s2 dngkg 10.550 10.760
mazut n?2b (3,5s) dongikg 9.450 9.630
mazut 8ocst - ,5s (rmg) dongka. 17.950 18.300
mazut 38ocst _ ,5s (rmg) dongkg 17.950 18.300
'ghi chu: muc gia ghi tren la gia ban le, rieng doi voi mat hang mazut la gia ban buon,"
6,4/13/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-09-2020-plx-tcbc-petrolimex-giam-gia-xang-dau-tu-15-gio-ngay-13-4-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/0bca2a1acb2541e7a919198f3a5468f2/Gia%2013.4.2020.png,8,4,1,2,ok,"don tinh
mat hang {da bao gom thue vung vung
gtgt)
xang ron 95-iv dong lit_ 12.030 12.270
xang ron 95-ii1 dong 'lit 11.930 12.160
xang sinh hoc e5 ron 92-i1 dong lit_ 11.340 11.560
diezen 001s-' donglit 11.120. 11.340
diezen 055-i1 donglit 10.820 11.030
dau hoa donglit 8.630 8.800
mazut 422(3 0s2_ dong ka 10.420 10.620
mazut 4222 5s2_ dong ka 9.320 9.500
mazut 18ocst - 5s (rmg) dong ka 17.820 18.170
mazut 38ocst _ 0,5s (rmg) dongkg 17.820 18.170
(ghi chu: muc gia ghi tren la gia ban le, rieng doi voi mat hang mazut la gia ban buon"
7,4/28/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-28-4-2020-thong-cao-bao-chi-so-11-2020-plx-tcbc.html,https://files.petrolimex.com.vn/images/6783DC1271FF449E95B74A9520964169/4009c493acff4f9db4c202896b1150ed/GIa%2028.4.2020.png,8,4,1,2,ok,"don tinh
mat hang {da bao gom thue vung vung
gtgt)
xang ron 95-iv dong lit_ 11.730 11.960
xang ron 95-ii1 dong 'lit 11.630 11.860
xang sinh hoc e5 ron 92-i1 dong lit_ 10.940 11.150
diezen 001s-' donglit 10.240 10.440
diezen 055-i1 donglit 940 10.130
dau h'a 2- k donglit 960 8.110
mazu42e(092_ dong'ka 9.770 9.960
mazut 4222 5s2_ dong'ka 8.670 8.840
mazut 18ocst - 5s (rmg) dong ka 17.170 17.510
mazut 38ocst _ 0,5s (rmg) dongkg 17.170 17.510
(ghi chu: muc gia ghi tren la gia ban le, rieng doi voi mat hang mazut la gia ban buon"
8,5/13/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-12-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-13-5-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/3d0e09976bda4304ad448a841eef0484/GIa%2013.5.2020.png,8,4,1,2,ok,"don tinh
mat hang {da bao gom thue vung vung
gtgt)
xang ron 95-iv dong lit_ 12.330 12.570
xang ron 95-ii1 dong 'lit 12.230 12.470
xang sinh hoc e5 ron 92-i1 dong lit_ 11.520 11.750
diezen 001s-' donglit 2150 10.350
diezen 055-i1 donglit 850 10.040
dau h'a 2- k donglit 7.880 8.030
mazu42e(092_ dong'ka 9.640 9.830
mazut 4222 5s2_ dong'ka 8.540 8.710
mazut 18ocst - 5s (rmg) dong ka 17.040 17.380
mazut 38ocst _ 0,5s (rmg) dongkg 17.040 17.380
(ghi chu: muc gia ghi tren la gia ban le, rieng doi voi mat hang mazut la gia ban buon"
9,5/28/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-13-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-28-5-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/fbf2c32c00774c8885c2a8e460de2c9d/Gia%2028.5.2020.png,8,4,1,2,ok,"don tinh
mat hang {da bao gom thue vung vung
gtgt)
xang ron 95-iv dong lit_ 13.220 13.480
xang ron 95-ii1 dong 'lit 13.120 13.380
xang sinh hoc e5 ron 92-i1 dong lit_ 12.400 12.640
diezen 001s-' donglit 11.040. 11.260
diezen 055-i1 donglit 10.740 10.950
dau h'a 2- k donglit 8.750 8.920
mazu42e(092_ dong'ka 10.590 10.800
mazut 4222 5s2_ dong ka 9.490 9.670
mazut 18ocst - 5s (rmg) dong ka 18.340
mazut 38ocst _ 0,5s (rmg) dongkg 17.990 18.340
(ghi chu: muc gia ghi tren la gia ban le, rieng doi voi mat hang mazut la gia ban buon"
