ngay,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,rain_sum,thi_truong,lat,lon,coord_source
2020-01-01,22.0,19.4,26.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-02,22.2,19.0,27.4,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-03,21.7,17.9,27.4,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-04,20.8,17.4,26.2,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-05,20.1,16.0,26.2,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-06,21.2,15.0,28.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-07,22.0,17.3,27.8,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-08,22.3,18.4,27.7,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-09,22.1,17.5,28.2,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-10,21.7,16.1,29.5,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-11,21.9,16.5,28.5,1.4,1.4,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-12,21.7,16.8,27.9,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-13,20.1,15.2,26.4,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-14,19.2,13.4,25.9,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-15,20.1,13.4,27.2,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-16,21.2,16.0,28.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-17,21.5,16.4,28.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-18,20.6,14.9,27.5,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-19,20.1,15.2,27.1,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-20,19.8,14.7,26.2,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-21,20.2,14.1,28.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-22,20.9,13.6,29.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-23,21.6,16.1,29.5,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-24,21.7,16.2,29.2,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-25,22.5,17.1,29.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-26,22.8,18.2,29.2,0.8,0.8,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-27,22.0,17.0,28.1,0.1,0.1,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-28,22.2,16.9,28.5,0.9,0.9,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-29,21.3,16.5,26.5,2.2,2.2,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-30,19.8,15.8,25.8,0.1,0.1,Gia Lai,13.8079,108.1094,manual_fallback
2020-01-31,18.9,13.5,25.4,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-01,18.8,14.4,25.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-02,19.2,12.5,27.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-03,19.9,13.3,27.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-04,20.5,15.1,28.4,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-05,19.9,13.9,27.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-06,19.8,11.9,28.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-07,21.1,12.0,30.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-08,21.7,15.7,29.2,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-09,21.3,18.0,26.2,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-10,21.0,17.7,26.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-11,22.2,16.6,28.4,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-12,23.4,18.0,29.9,0.5,0.5,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-13,24.7,19.0,31.0,0.1,0.1,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-14,25.3,19.4,31.9,0.6,0.6,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-15,26.5,19.1,33.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-16,26.0,20.8,33.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-17,22.8,19.0,28.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-18,21.2,17.4,27.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-19,21.0,16.2,27.8,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-20,20.7,15.5,27.5,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-21,21.2,17.1,27.4,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-22,21.1,16.8,27.9,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-23,20.9,16.0,27.9,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-24,20.7,14.3,28.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-25,22.0,15.6,30.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-26,22.6,17.0,30.4,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-27,22.4,16.1,29.7,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-28,22.8,15.9,30.4,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-02-29,23.1,16.9,31.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-03-01,24.0,17.5,32.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-03-02,23.7,18.5,31.4,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-03-03,23.7,18.5,31.2,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-03-04,23.9,18.1,31.9,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-03-05,23.6,18.4,30.0,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-03-06,24.5,18.1,32.6,0.0,0.0,Gia Lai,13.8079,108.1094,manual_fallback
2020-03-07,26.1,19.1,33.7,0.1,0.1,Gia Lai,13.8079,108.1094,manual_fallback
