ten_mat_hang,thi_truong,ngay,gia,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,rain_sum,lat,lon,coord_source
Cà phê Robusta nhân xô,Gia Lai,2021-03-01,32800.0,24.8,19.7,31.3,0.8,0.8,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-02,32600.0,24.3,19.5,30.4,0.2,0.2,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-03,32600.0,23.3,19.4,29.5,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-04,32500.0,24.0,18.6,31.4,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-05,32400.0,24.3,17.5,32.3,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-08,32800.0,23.5,18.7,29.9,0.3,0.3,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-09,32600.0,23.1,18.1,30.0,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-10,32600.0,23.0,17.2,30.2,0.1,0.1,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-11,32500.0,23.0,17.2,29.8,0.5,0.5,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-12,32400.0,23.6,18.5,30.4,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-15,32300.0,23.4,16.2,32.0,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-16,32000.0,24.2,18.0,32.5,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-17,32600.0,24.2,16.2,33.0,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-18,32700.0,25.1,18.6,33.5,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-19,32800.0,25.8,19.6,34.6,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-22,32500.0,24.0,20.0,29.5,0.1,0.1,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-23,32400.0,23.5,19.7,28.7,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-24,32700.0,23.6,18.8,30.6,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-25,32800.0,24.2,18.6,31.3,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-26,32200.0,24.6,19.3,31.9,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-29,32400.0,27.7,19.9,35.5,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-30,32600.0,28.0,20.8,34.8,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-03-31,32300.0,27.8,21.7,33.0,0.9,0.9,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-01,32100.0,27.9,23.2,33.2,1.4,1.4,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-02,32100.0,26.8,23.0,33.2,4.7,4.7,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-05,32500.0,24.7,18.1,32.0,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-06,32200.0,25.1,20.2,31.9,0.2,0.2,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-07,32100.0,25.0,18.5,32.4,0.1,0.1,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-08,32000.0,24.4,20.0,31.5,3.0,3.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-09,31900.0,25.2,18.7,32.8,0.1,0.1,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-12,32000.0,25.2,19.7,32.3,0.5,0.5,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-13,32000.0,26.2,20.2,33.2,0.5,0.5,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-14,32100.0,26.2,21.3,32.5,0.4,0.4,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-15,32000.0,27.0,20.5,34.5,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-16,32400.0,26.9,20.6,34.3,0.2,0.2,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-19,32500.0,24.7,20.2,30.4,7.3,7.3,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-20,32600.0,24.1,21.3,28.2,7.9,7.9,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-21,32900.0,23.6,20.8,29.7,28.6,28.6,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-22,32800.0,23.5,21.4,28.3,30.5,30.5,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-23,32800.0,23.8,21.0,29.1,9.1,9.1,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-26,32900.0,25.2,21.2,30.3,1.0,1.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-27,33200.0,24.5,20.5,29.2,0.8,0.8,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-28,33400.0,24.5,20.8,29.5,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-29,33400.0,24.1,19.6,29.5,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-04-30,33100.0,24.1,19.6,28.6,2.4,2.4,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-05-03,33200.0,25.6,20.9,32.0,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-05-04,33100.0,25.7,19.5,32.5,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-05-05,33400.0,26.0,21.0,31.6,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-05-06,34100.0,25.6,21.4,30.6,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-05-07,34200.0,25.7,20.9,31.5,0.0,0.0,13.8079,108.1094,manual_fallback
Cà phê Robusta nhân xô,Gia Lai,2021-05-10,33900.0,26.7,21.6,31.8,1.6,1.6,13.8079,108.1094,manual_fallback
