effective_date,source_url,price_image_url,ron95_vung1
1/15/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-30-2019-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-30-ngay-15-01-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/8330982928624acaa1d07ab6f4539468/Gia%2015.1.2020.png,20 910
1/30/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-04-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-ngay-30-01-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/4bae9c32d7b6482b88bca28b8c48827c/Gia%2030.1.2020.png,20 120
2/14/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-giam-gia-xang-dau-tu-15-gio-ngay-14-02-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/2f8b99d6a90d44a78ac83790ff98b54c/Gia%2014.2.2020.PNG,19 380
2/29/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-ngay-29-02-2020.html,https://files.petrolimex.com.vn/jpgs/6783DC1271FF449E95B74A9520964169/73efc6a338ba49c4b756ef6ff59db5dd/b%E1%BA%A3ng%20gi%C3%A1%202.jpg,19 120
3/15/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-07-2020-plx-tcbc-petrolimex-giam-gia-xang-dau-tu-15-gio-ngay-15-3-2020.html,https://files.petrolimex.com.vn/jpgs/6783DC1271FF449E95B74A9520964169/1b599c254b3c4231a3a1733a8edc38ed/Giabanle.jpg,16 810
3/29/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-08-2020-plx-tcbc-petrolimex-giam-gia-xang-dau-tu-15-gio-ngay-29-03-2020.html,https://files.petrolimex.com.vn/jpgs/6783DC1271FF449E95B74A9520964169/4c6ac8691ac842e0bf6f57f4660f043f/TCBC%2029.03.jpg,12 560
4/13/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-09-2020-plx-tcbc-petrolimex-giam-gia-xang-dau-tu-15-gio-ngay-13-4-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/0bca2a1acb2541e7a919198f3a5468f2/Gia%2013.4.2020.png,11 930
4/28/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-28-4-2020-thong-cao-bao-chi-so-11-2020-plx-tcbc.html,https://files.petrolimex.com.vn/images/6783DC1271FF449E95B74A9520964169/4009c493acff4f9db4c202896b1150ed/GIa%2028.4.2020.png,11 630
5/13/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-12-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-13-5-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/3d0e09976bda4304ad448a841eef0484/GIa%2013.5.2020.png,12 230
5/28/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-13-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-28-5-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/fbf2c32c00774c8885c2a8e460de2c9d/Gia%2028.5.2020.png,13 120
6/12/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-14-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-12-6-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/75a2e1ef2da1419485965849b370f32a/Gi%C3%A1%2012.6.2020..png,14 080
6/27/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-27-6-2020.html,https://files.petrolimex.com.vn/jpgs/6783DC1271FF449E95B74A9520964169/ae83c79039164a7fa54d4ff5a01b1295/Giabanle.jpg,14 970
7/13/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-16-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-13-7-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/61898f663d674ceabc327eece070d03c/Gi%C3%A1%2013.7.2020.png,14 970
7/28/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-17-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-28-7-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/511944383ceb44e2a1bf0303ad96727d/Gia%2028.7.2020.png,14 970
8/12/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-18-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-12-8-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/4d057ddb7a7043f8bfec4b562b5a8da0/Gia%2012.8.2020.png,14 920
8/27/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-19-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-27-8-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/56dd2a22331448fb8cbdd59a5975f6e9/Gia%2027.8.2020.png,15 110
